dataset,n-features,n-classes,n-numerical-features,n-categorical-features,n-binary-features,n-grid-samples,fold,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-prop,n-prune-prop-samples,n-mip-trees,mip-prune-train-acc,mip-prune-test-acc,mip-prune-prop-train-acc,mip-prune-train-fidelity,mip-prune-test-fidelity,mip-prune-prop-train-fidelity,mip-prune-grid-fidelity,mip-time,n-random-trees,random-prune-train-acc,random-prune-test-acc,random-prune-prop-train-acc,random-prune-train-fidelity,random-prune-test-fidelity,random-prune-prop-train-fidelity,random-prune-grid-fidelity,n-greedy-trees,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-prop-train-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,greedy-prune-prop-train-fidelity,greedy-prune-grid-fidelity
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,1,3680,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,36.39500117301941,7.0,0.9953804347826087,0.9435396308360477,0.9953804347826087,0.9953804347826087,0.9706840390879479,0.9953804347826087,0.976,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,2,7360,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,18.806413173675537,7.0,0.9945652173913043,0.9337676438653637,0.9945652173913043,0.9951086956521739,0.9609120521172638,0.9951086956521739,0.9827,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,3,11040,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,31.21630835533142,7.0,0.9932065217391305,0.9348534201954397,0.9932065217391305,0.99375,0.9663409337676439,0.99375,0.9869,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,4,14720,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,34.59807848930359,7.0,0.9956521739130435,0.9424538545059717,0.9956521739130435,0.9951086956521739,0.9695982627578719,0.9951086956521739,0.0088,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,5,18400,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,36.30645251274109,7.0,0.9956521739130435,0.9565689467969598,0.9956521739130435,0.9956521739130435,0.9815418023887079,0.9956521739130435,0.9958,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,6,22080,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,44.16619300842285,7.0,0.9956521739130435,0.9424538545059717,0.9956521739130435,0.9956521739130435,0.9739413680781759,0.9956521739130435,0.2164,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,7,25760,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,25.967695474624634,7.0,0.9942934782608696,0.9413680781758957,0.9942934782608696,0.9942934782608696,0.9685124864277959,0.9942934782608696,0.9546,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,8,29440,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,13.453083515167236,7.0,0.9953804347826087,0.9467969598262758,0.9953804347826087,0.9959239130434783,0.9674267100977199,0.9959239130434783,0.7911,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,9,33120,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,9.997186660766602,7.0,0.9956521739130435,0.9413680781758957,0.9956521739130435,0.9956521739130435,0.9619978284473398,0.9956521739130435,0.9978,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
spambase,57,2,57,0,0,10000,1,3680,921,100,0.9994565217391305,0.9554831704668838,10,36800,7,0.9994565217391305,0.9348534201954397,0.9994565217391305,1.0,0.9728555917480999,1.0,0.0805,22.804359912872314,7.0,0.9956521739130435,0.9500542888165038,0.9956521739130435,0.9956521739130435,0.9728555917480999,0.9956521739130435,0.0807,7,0.9948369565217391,0.9446254071661238,0.9948369565217391,0.9948369565217391,0.9695982627578719,0.9948369565217391,0.7402
