dataset,n-features,n-classes,n-numerical-features,n-categorical-features,n-binary-features,n-grid-samples,fold,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-prop,n-prune-prop-samples,n-mip-trees,mip-prune-train-acc,mip-prune-test-acc,mip-prune-prop-train-acc,mip-prune-train-fidelity,mip-prune-test-fidelity,mip-prune-prop-train-fidelity,mip-prune-grid-fidelity,mip-time,n-random-trees,random-prune-train-acc,random-prune-test-acc,random-prune-prop-train-acc,random-prune-train-fidelity,random-prune-test-fidelity,random-prune-prop-train-fidelity,random-prune-grid-fidelity,n-greedy-trees,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-prop-train-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,greedy-prune-prop-train-fidelity,greedy-prune-grid-fidelity
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,1,800,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,19.753655433654785,5.0,0.97125,0.84,0.97125,0.97125,0.905,0.97125,0.8218,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,2,1600,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,23.938413619995117,5.0,0.9725,0.86,0.9725,0.9725,0.915,0.9725,0.8765,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,3,2400,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,20.679229497909546,5.0,0.98125,0.8,0.98125,0.98125,0.845,0.98125,0.8147,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,4,3200,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,8.81233525276184,5.0,0.975,0.78,0.975,0.975,0.855,0.975,0.7955,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,5,4000,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,20.41530704498291,5.0,0.97875,0.815,0.97875,0.97875,0.85,0.97875,0.8695,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,6,4800,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,27.765058755874634,5.0,0.98375,0.79,0.98375,0.98375,0.875,0.98375,0.8757,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,7,5600,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,29.63119077682495,5.0,0.97625,0.78,0.97625,0.97625,0.875,0.97625,0.8792,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,8,6400,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,28.355146169662476,5.0,0.98625,0.84,0.98625,0.98625,0.885,0.98625,0.8423,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,9,7200,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,40.33187985420227,5.0,0.985,0.815,0.985,0.985,0.86,0.985,0.8003,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,10,8000,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,32.612038373947144,5.0,0.98375,0.73,0.98375,0.98375,0.805,0.98375,0.8311,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,1,800,5,1.0,0.76,1.0,1.0,0.835,1.0,0.8398,18.135849952697754,5.0,0.98625,0.78,0.98625,0.98625,0.875,0.98625,0.879,5,0.9925,0.81,0.9925,0.9925,0.895,0.9925,0.9049
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,2,1600,5,1.0,0.76,1.0,1.0,0.835,1.0,0.8398,19.376966953277588,5.0,0.98625,0.805,0.98625,0.98625,0.87,0.98625,0.7961,5,0.9925,0.81,0.9925,0.9925,0.895,0.9925,0.9049
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,3,2400,5,1.0,0.76,1.0,1.0,0.835,1.0,0.8398,20.353885173797607,5.0,0.98125,0.785,0.98125,0.98125,0.88,0.98125,0.8443,5,0.9925,0.81,0.9925,0.9925,0.895,0.9925,0.9049
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,4,3200,5,1.0,0.76,1.0,1.0,0.835,1.0,0.8398,5.526410341262817,5.0,0.985,0.765,0.985,0.985,0.88,0.985,0.8524,5,0.9925,0.81,0.9925,0.9925,0.895,0.9925,0.9049
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,5,4000,5,1.0,0.76,1.0,1.0,0.835,1.0,0.8398,24.654875993728638,5.0,0.97875,0.79,0.97875,0.97875,0.865,0.97875,0.8553,5,0.9925,0.81,0.9925,0.9925,0.895,0.9925,0.9049
