prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity,mip-prune-train-fidelity,random-prune-train-fidelity,greedy-prune-train-fidelity
1,26.6,0.9223925794416132,0.9208862435551921,0.9224679373918769,0.9998869808179105,0.9979844764683202,0.9981540123379746
2,26.2,0.9211119768050784,0.920434294537471,0.922392607825022,0.9998869808179105,0.9976265794348199,0.9981163369117715
3,26.2,0.9211119768050784,0.9229197444925544,0.922392607825022,0.9998869808179105,0.9977395932945192,0.9981163369117715
4,25.6,0.9202076814019133,0.924728988117286,0.9235229770789782,0.9998116370620244,0.99773961103582,0.9978714697051412
5,25.6,0.9202076814019133,0.9216395959905596,0.9235229770789782,0.9998116370620244,0.9973063542792631,0.9978714697051412
6,25.6,0.9202076814019133,0.9213381925729134,0.9235229770789782,0.9998116370620244,0.9971745222218928,0.9978714697051412
7,26.0,0.9216394824569246,0.9259337786690167,0.923899766830297,0.9998116370620244,0.9975323979658322,0.9980598290948567
8,25.8,0.9196801757500671,0.9215652598430115,0.9220158180737033,0.9998869808179105,0.9977584398782712,0.9979279775220558
9,25.6,0.9202076814019133,0.9197555620837395,0.9235229770789782,0.9998116370620244,0.9976077559147589,0.9978714697051412
10,25.8,0.9196801757500671,0.9214130112384107,0.9220158180737033,0.9998869808179105,0.9980786739044788,0.9979279775220558
