prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity
1,13.2,0.8861487292290567,0.8763668406964726,0.8969588953966025
2,13.2,0.8861487292290567,0.8789295841836058,0.8969588953966025
3,13.2,0.8861487292290567,0.8784101449659449,0.8969588953966025
4,13.2,0.8861487292290567,0.8871690562637479,0.8969588953966025
5,13.2,0.8861487292290567,0.8954217793443405,0.8969588953966025
6,13.2,0.8861487292290567,0.8907759785863834,0.8969588953966025
7,13.2,0.8861487292290567,0.8912954178040442,0.8969588953966025
8,13.2,0.8861487292290567,0.8794450481011316,0.8969588953966025
9,13.2,0.8861487292290567,0.8980057244321946,0.8969588953966025
10,13.2,0.8861487292290567,0.8686295815334057,0.8969588953966025
