prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity
1,7.0,0.9689189444365767,0.9697889817306331,0.9747892177689657
2,7.0,0.9689189444365767,0.9676171930321484,0.9747892177689657
3,7.0,0.9689189444365767,0.9676160128404853,0.9747892177689657
4,7.0,0.9689189444365767,0.9706587829863571,0.9747892177689657
5,7.0,0.9689189444365767,0.9741344474342635,0.9747892177689657
6,7.0,0.9689189444365767,0.9678317518765047,0.9747892177689657
7,7.0,0.9689189444365767,0.9697894538072983,0.9747892177689657
8,7.0,0.9689189444365767,0.9682679507151961,0.9747892177689657
9,7.0,0.9689189444365767,0.9676169569938159,0.9747892177689657
10,7.0,0.9689189444365767,0.9706580748713591,0.9747892177689657
