dataset,n-features,n-classes,n-numerical-features,n-categorical-features,n-binary-features,n-grid-samples,fold,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-prop,n-prune-prop-samples,n-mip-trees,mip-prune-train-acc,mip-prune-test-acc,mip-prune-prop-train-acc,mip-prune-train-fidelity,mip-prune-test-fidelity,mip-prune-prop-train-fidelity,mip-prune-grid-fidelity,mip-time,n-random-trees,random-prune-train-acc,random-prune-test-acc,random-prune-prop-train-acc,random-prune-train-fidelity,random-prune-test-fidelity,random-prune-prop-train-fidelity,random-prune-grid-fidelity,n-greedy-trees,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-prop-train-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,greedy-prune-prop-train-fidelity,greedy-prune-grid-fidelity
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,1,800,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,117.03527164459229,7.0,0.98375,0.72,0.98375,0.98375,0.89,0.98375,0.6987,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,2,1600,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,99.38740086555481,7.0,0.975,0.69,0.975,0.975,0.87,0.975,0.6853,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,3,2400,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,118.59217548370361,7.0,0.98125,0.74,0.98125,0.98125,0.86,0.98125,0.6752,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,4,3200,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,136.33311557769775,7.0,0.9725,0.725,0.9725,0.9725,0.845,0.9725,0.6718,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,5,4000,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,83.10136079788208,7.0,0.985,0.72,0.985,0.985,0.86,0.985,0.726,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,6,4800,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,54.1158127784729,7.0,0.975,0.735,0.975,0.975,0.865,0.975,0.6858,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,7,5600,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,71.98928833007812,7.0,0.98125,0.75,0.98125,0.98125,0.89,0.98125,0.6875,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,8,6400,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,128.58003640174866,7.0,0.98,0.73,0.98,0.98,0.87,0.98,0.7067,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,9,7200,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,110.44569563865662,7.0,0.97875,0.735,0.97875,0.97875,0.885,0.97875,0.6463,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,10,8000,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,94.9938108921051,7.0,0.9775,0.725,0.9775,0.9775,0.865,0.9775,0.6877,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,1,800,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,120.02968120574951,7.0,0.97625,0.715,0.97625,0.97625,0.885,0.97625,0.7448,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,2,1600,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,135.8527307510376,7.0,0.9825,0.745,0.9825,0.9825,0.875,0.9825,0.7266,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,3,2400,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,167.3362636566162,7.0,0.975,0.725,0.975,0.975,0.855,0.975,0.6708,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,4,3200,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,165.44060754776,7.0,0.98125,0.72,0.98125,0.98125,0.86,0.98125,0.7294,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,5,4000,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,61.19358730316162,7.0,0.9775,0.745,0.9775,0.9775,0.885,0.9775,0.7068,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,6,4800,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,74.85494613647461,7.0,0.98375,0.74,0.98375,0.98375,0.88,0.98375,0.666,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,7,5600,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,165.13731956481934,7.0,0.97875,0.72,0.97875,0.97875,0.83,0.97875,0.6496,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,8,6400,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,155.58705639839172,7.0,0.9775,0.76,0.9775,0.9775,0.88,0.9775,0.6976,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,9,7200,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,92.51111340522766,7.0,0.98,0.715,0.98,0.98,0.885,0.98,0.7227,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,10,8000,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,17.519979238510132,7.0,0.96875,0.71,0.96875,0.96875,0.85,0.96875,0.768,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
