prop,test-acc,prune-test-acc,n-trees
0.1,0.7963427751882395,0.6845124282982792,9
0.2,0.7963427751882395,0.6802103250478011,16
0.30000000000000004,0.7963427751882395,0.6826003824091779,18
0.4,0.7963427751882395,0.6869024856596558,20
0.5,0.7963427751882395,0.6797323135755258,22
0.6,0.7963427751882395,0.6782982791586998,28
0.7000000000000001,0.7963427751882395,0.6845124282982792,26
0.8,0.7963427751882395,0.6830783938814532,24
0.9,0.7963427751882395,0.6806883365200764,28
1.0,0.7963427751882395,0.6782982791586998,26
