prop,test-acc,prune-test-acc,n-trees
0.1,0.9671457905544147,0.8130489335006273,22
0.2,0.9671457905544147,0.8136192540207596,36
0.30000000000000004,0.9671457905544147,0.8155583437892095,44
0.4,0.9671457905544147,0.8125926770845215,49
0.5,0.9671457905544147,0.8139614463328391,60
0.6,0.9671457905544147,0.8149880232690773,62
0.7000000000000001,0.9671457905544147,0.8138473822288126,66
0.8,0.9671457905544147,0.8146458309569978,68
0.9,0.9671457905544147,0.8145317668529714,68
1.0,0.9671457905544147,0.8144177027489449,68
