prop,test-acc,prune-test-acc,n-trees
0.1,0.9916887833496298,0.9776536312849162,5
0.2,0.9916887833496298,0.9754189944134078,5
0.30000000000000004,0.9916887833496298,0.9782122905027933,7
0.4,0.9916887833496298,0.975977653631285,9
0.5,0.9916887833496298,0.9762569832402235,9
0.6,0.9916887833496298,0.9782122905027933,9
0.7000000000000001,0.9916887833496298,0.979050279329609,11
0.8,0.9916887833496298,0.9793296089385475,11
0.9,0.9916887833496298,0.9768156424581006,11
1.0,0.9916887833496298,0.9779329608938547,13
