prop,test-acc,prune-test-acc,n-trees
0.1,1.0,0.8333333333333334,1
0.2,1.0,0.8333333333333334,1
0.30000000000000004,1.0,0.8333333333333334,1
0.4,1.0,0.8809523809523809,2
0.5,1.0,0.9047619047619048,2
0.6,1.0,0.8571428571428571,2
0.7000000000000001,1.0,0.8809523809523809,2
0.8,1.0,0.8571428571428571,2
0.9,1.0,0.9523809523809523,3
1.0,1.0,0.9047619047619048,3
