prop,test-acc,prune-test-acc,n-trees
0.1,0.6816289592760181,0.6548480463096961,3
0.2,0.6816289592760181,0.6555716353111433,3
0.30000000000000004,0.6816289592760181,0.6534008683068018,3
0.4,0.6816289592760181,0.6548480463096961,3
0.5,0.6816289592760181,0.6548480463096961,3
0.6,0.6816289592760181,0.6548480463096961,3
0.7000000000000001,0.6816289592760181,0.6548480463096961,3
0.8,0.6816289592760181,0.6548480463096961,3
0.9,0.6816289592760181,0.6548480463096961,3
1.0,0.6816289592760181,0.6548480463096961,3
