prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity,mip-prune-train-fidelity,random-prune-train-fidelity,greedy-prune-train-fidelity,mip-prune-grid-fidelity,random-prune-grid-fidelity,greedy-prune-grid-fidelity,mip-time
0.1,1.2,0.5645877378435518,0.5367864693446089,0.5645877378435518,0.8050574712643679,0.7752183908045976,0.8004334975369458,0.332,0.42382,0.34888,0.5473332881927491
0.2,2.4,0.6331923890063424,0.5923890063424947,0.6286469344608879,0.881799671592775,0.8404597701149426,0.8783579638752054,0.34024,0.32036000000000003,0.34908,0.8865046024322509
0.3,3.0,0.5683932346723044,0.623784355179704,0.6241014799154334,0.9116847290640393,0.8830213464696224,0.9116978653530378,0.5178800000000001,0.26954,0.45004,3.9582982063293457
0.4,3.0,0.6103594080338267,0.5874207188160676,0.6100422832980973,0.943816091954023,0.880735632183908,0.920873563218391,0.35644,0.40908,0.25552,5.368607091903686
0.5,3.0,0.6149048625792812,0.6515856236786469,0.6791754756871036,0.94040065681445,0.8853267651888341,0.9185878489326764,0.38916,0.2492,0.39239999999999997,7.026784181594849
0.6,3.8,0.6052854122621565,0.6601479915433404,0.6379492600422834,0.9529589490968802,0.8841904761904763,0.9323021346469623,0.33176,0.40718000000000004,0.5132800000000001,11.15863995552063
0.7000000000000001,4.0,0.6792811839323467,0.6197674418604651,0.6060253699788584,0.975927750410509,0.9001970443349754,0.9231395730706076,0.35706,0.5073399999999999,0.26246,11.191644668579102
0.8,4.2,0.670401691331924,0.6607822410147992,0.6472515856236786,0.9793563218390805,0.9025615763546799,0.9403743842364533,0.3823,0.3679,0.43876,23.250309705734253
0.9,5.0,0.7019027484143763,0.697568710359408,0.7341437632135307,0.9919671592775042,0.942679802955665,0.9621477832512315,0.39566,0.3054,0.43454,24.374229431152344
1.0,5.2,0.642600422832981,0.6707188160676533,0.7160676532769555,1.0,0.9334975369458128,0.9655697865353037,0.43857999999999997,0.5044799999999999,0.44014,118.84338030815124
