dataset,n-features,n-classes,n-numerical-features,n-categorical-features,n-binary-features,n-grid-samples,fold,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-prop,n-prune-prop-samples,n-mip-trees,mip-prune-train-acc,mip-prune-test-acc,mip-prune-prop-train-acc,mip-prune-train-fidelity,mip-prune-test-fidelity,mip-prune-prop-train-fidelity,mip-prune-grid-fidelity,mip-time,n-random-trees,random-prune-train-acc,random-prune-test-acc,random-prune-prop-train-acc,random-prune-train-fidelity,random-prune-test-fidelity,random-prune-prop-train-fidelity,random-prune-grid-fidelity,n-greedy-trees,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-prop-train-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,greedy-prune-prop-train-fidelity,greedy-prune-grid-fidelity
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.1,80,3,0.9525,0.72,1.0,0.9525,0.85,1.0,0.6127,0.4795668125152588,3.0,0.9525,0.745,0.9625,0.9525,0.835,0.9625,0.671,3,0.94875,0.705,0.975,0.94875,0.815,0.975,0.6496
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.2,160,3,0.9375,0.735,1.0,0.9375,0.825,1.0,0.6759,0.9300277233123779,3.0,0.93375,0.735,0.90625,0.93375,0.805,0.90625,0.6405,3,0.94625,0.735,0.9625,0.94625,0.825,0.9625,0.6405
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.30000000000000004,240,5,0.97875,0.72,1.0,0.97875,0.8,1.0,0.6773,6.827175617218018,5.0,0.96625,0.695,0.9625,0.96625,0.855,0.9625,0.6866,5,0.9725,0.74,0.9875,0.9725,0.86,0.9875,0.6795
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.4,320,5,0.98125,0.74,1.0,0.98125,0.84,1.0,0.6405,14.247129201889038,5.0,0.975,0.715,0.978125,0.975,0.845,0.978125,0.6628,5,0.97625,0.735,0.98125,0.97625,0.905,0.98125,0.6883
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.5,400,5,0.98375,0.73,1.0,0.98375,0.85,1.0,0.6901,20.141112327575684,5.0,0.965,0.715,0.9675,0.965,0.815,0.9675,0.5832,5,0.98,0.73,0.99,0.98,0.83,0.99,0.6294
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.6,480,5,0.99125,0.72,1.0,0.99125,0.81,1.0,0.6066,28.57883048057556,5.0,0.9675,0.745,0.9645833333333333,0.9675,0.895,0.9645833333333333,0.6664,5,0.97375,0.67,0.9833333333333333,0.97375,0.83,0.9833333333333333,0.6518
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.7000000000000001,560,6,0.99,0.67,1.0,0.99,0.83,1.0,0.6492,49.25102686882019,6.0,0.97875,0.645,0.9857142857142858,0.97875,0.805,0.9857142857142858,0.6152,6,0.98125,0.675,0.9875,0.98125,0.845,0.9875,0.5714
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.8,640,6,0.99,0.725,1.0,0.99,0.815,1.0,0.6301,61.46697282791138,6.0,0.97375,0.7,0.9765625,0.97375,0.81,0.9765625,0.6494,6,0.985,0.68,0.9890625,0.985,0.78,0.9890625,0.5724
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,0.9,720,7,0.99625,0.695,1.0,0.99625,0.845,1.0,0.7253,128.11355090141296,7.0,0.97875,0.73,0.9763888888888889,0.97875,0.88,0.9763888888888889,0.6665,7,0.985,0.7,0.9861111111111112,0.985,0.9,0.9861111111111112,0.7168
credit-g,20,2,7,13,0,10000,1,800,200,100,1.0,0.75,1.0,800,7,1.0,0.725,1.0,1.0,0.865,1.0,0.6777,119.1934072971344,7.0,0.9825,0.755,0.9825,0.9825,0.825,0.9825,0.6889,7,0.9875,0.72,0.9875,0.9875,0.87,0.9875,0.6963
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.1,80,3,0.95125,0.655,1.0,0.95125,0.835,1.0,0.6774,0.49860286712646484,3.0,0.935,0.67,0.9375,0.935,0.8,0.9375,0.6564,3,0.9325,0.7,0.9875,0.9325,0.83,0.9875,0.7048
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.2,160,3,0.9525,0.71,1.0,0.9525,0.83,1.0,0.6829,0.49613118171691895,3.0,0.9475,0.69,0.95625,0.9475,0.79,0.95625,0.6052,3,0.9425,0.72,0.99375,0.9425,0.82,0.99375,0.6931
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.30000000000000004,240,4,0.975,0.69,1.0,0.975,0.73,1.0,0.5919,7.16957426071167,4.0,0.935,0.645,0.925,0.935,0.695,0.925,0.5838,4,0.96,0.69,0.9833333333333333,0.96,0.78,0.9833333333333333,0.5866
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.4,320,4,0.975,0.655,1.0,0.975,0.745,1.0,0.5914,17.6742000579834,4.0,0.955,0.665,0.96875,0.955,0.725,0.96875,0.5802,4,0.96125,0.735,0.996875,0.96125,0.765,0.996875,0.5592
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.5,400,5,0.98125,0.7,1.0,0.98125,0.85,1.0,0.6943,17.059884548187256,5.0,0.975,0.705,0.975,0.975,0.835,0.975,0.7231,5,0.97125,0.74,0.9775,0.97125,0.85,0.9775,0.7203
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.6,480,5,0.995,0.725,1.0,0.995,0.825,1.0,0.6178,33.49870419502258,5.0,0.95875,0.735,0.9645833333333333,0.95875,0.825,0.9645833333333333,0.5926,5,0.9625,0.7,0.96875,0.9625,0.85,0.96875,0.6557
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.7000000000000001,560,5,0.99375,0.73,1.0,0.99375,0.81,1.0,0.6308,43.799288511276245,5.0,0.97,0.74,0.9732142857142857,0.97,0.86,0.9732142857142857,0.6718,5,0.9825,0.695,0.9821428571428571,0.9825,0.845,0.9821428571428571,0.616
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.8,640,5,0.99375,0.73,1.0,0.99375,0.81,1.0,0.6308,66.36427021026611,5.0,0.97375,0.71,0.9734375,0.97375,0.85,0.9734375,0.6797,5,0.9825,0.72,0.9828125,0.9825,0.86,0.9828125,0.6287
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,0.9,720,6,0.99625,0.69,1.0,0.99625,0.81,1.0,0.6344,79.98362588882446,6.0,0.97375,0.705,0.975,0.97375,0.795,0.975,0.5996,6,0.985,0.685,0.9875,0.985,0.805,0.9875,0.583
credit-g,20,2,7,13,0,10000,2,800,200,100,1.0,0.75,1.0,800,7,1.0,0.755,1.0,1.0,0.855,1.0,0.6979,164.23076176643372,7.0,0.98625,0.695,0.98625,0.98625,0.805,0.98625,0.6818,7,0.98125,0.75,0.98125,0.98125,0.92,0.98125,0.6791
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.1,80,3,0.92625,0.715,1.0,0.92625,0.805,1.0,0.6512,0.4202289581298828,3.0,0.9525,0.74,0.9875,0.9525,0.82,0.9875,0.67,3,0.93875,0.71,0.975,0.93875,0.79,0.975,0.6347
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.2,160,3,0.94875,0.745,1.0,0.94875,0.855,1.0,0.6189,0.665477991104126,3.0,0.93,0.72,0.94375,0.93,0.79,0.94375,0.6744,3,0.9475,0.72,0.96875,0.9475,0.8,0.96875,0.5954
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.30000000000000004,240,4,0.96625,0.72,1.0,0.96625,0.79,1.0,0.5898,5.786460638046265,4.0,0.94625,0.695,0.9291666666666667,0.94625,0.795,0.9291666666666667,0.6334,4,0.95375,0.69,0.9541666666666667,0.95375,0.77,0.9541666666666667,0.5518
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.4,320,5,0.975,0.785,1.0,0.975,0.865,1.0,0.6516,16.10502338409424,5.0,0.975,0.765,0.978125,0.975,0.875,0.978125,0.6522,5,0.97,0.74,0.99375,0.97,0.85,0.99375,0.6403
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.5,400,5,0.98625,0.73,1.0,0.98625,0.85,1.0,0.6699,19.714449405670166,5.0,0.95375,0.72,0.965,0.95375,0.86,0.965,0.699,5,0.96625,0.705,0.975,0.96625,0.825,0.975,0.6473
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.6,480,5,0.9925,0.765,1.0,0.9925,0.885,1.0,0.6467,31.29719376564026,5.0,0.95125,0.77,0.9375,0.95125,0.8,0.9375,0.6639,5,0.96625,0.695,0.9770833333333333,0.96625,0.855,0.9770833333333333,0.687
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.7000000000000001,560,6,0.99,0.72,1.0,0.99,0.82,1.0,0.6698,53.166808128356934,6.0,0.9775,0.73,0.9732142857142857,0.9775,0.84,0.9732142857142857,0.6025,6,0.97875,0.71,0.9857142857142858,0.97875,0.84,0.9857142857142858,0.6092
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.8,640,6,0.9975,0.72,1.0,0.9975,0.83,1.0,0.5698,52.03662300109863,6.0,0.98375,0.7,0.9828125,0.98375,0.82,0.9828125,0.6216,6,0.98125,0.68,0.9828125,0.98125,0.8,0.9828125,0.63
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,0.9,720,6,0.99875,0.73,1.0,0.99875,0.81,1.0,0.6125,100.54620790481567,6.0,0.9775,0.75,0.9791666666666666,0.9775,0.9,0.9791666666666666,0.641,6,0.97875,0.735,0.9791666666666666,0.97875,0.835,0.9791666666666666,0.6145
credit-g,20,2,7,13,0,10000,3,800,200,100,1.0,0.8,1.0,800,6,1.0,0.735,1.0,1.0,0.855,1.0,0.6362,138.00235676765442,6.0,0.97125,0.74,0.97125,0.97125,0.86,0.97125,0.6041,6,0.97875,0.735,0.97875,0.97875,0.835,0.97875,0.6145
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.1,80,3,0.9425,0.665,1.0,0.9425,0.78,1.0,0.6572,0.5088725090026855,3.0,0.94625,0.67,0.975,0.94625,0.735,0.975,0.6297,3,0.94625,0.665,0.975,0.94625,0.78,0.975,0.6331
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.2,160,3,0.9625,0.735,1.0,0.9625,0.8,1.0,0.6376,0.7022120952606201,3.0,0.9375,0.735,0.90625,0.9375,0.8,0.90625,0.6729,3,0.9475,0.695,0.9625,0.9475,0.82,0.9625,0.5936
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.30000000000000004,240,4,0.9675,0.655,1.0,0.9675,0.73,1.0,0.5849,6.870707273483276,4.0,0.94375,0.675,0.9541666666666667,0.94375,0.8,0.9541666666666667,0.595,4,0.94625,0.62,0.9791666666666666,0.94625,0.705,0.9791666666666666,0.5151
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.4,320,5,0.9825,0.745,1.0,0.9825,0.83,1.0,0.6776,11.041788339614868,5.0,0.96875,0.7,0.96875,0.96875,0.785,0.96875,0.6547,5,0.96625,0.75,0.971875,0.96625,0.825,0.971875,0.6407
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.5,400,5,0.98625,0.715,1.0,0.98625,0.84,1.0,0.6693,15.02727198600769,5.0,0.965,0.695,0.965,0.965,0.8,0.965,0.6992,5,0.97,0.7,0.975,0.97,0.795,0.975,0.6767
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.6,480,5,0.98625,0.72,1.0,0.98625,0.785,1.0,0.6698,11.521350860595703,5.0,0.96625,0.745,0.9604166666666667,0.96625,0.85,0.9604166666666667,0.6636,5,0.97,0.715,0.9708333333333333,0.97,0.82,0.9708333333333333,0.6525
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.7000000000000001,560,6,0.99375,0.685,1.0,0.99375,0.8,1.0,0.6296,26.511473178863525,6.0,0.98125,0.675,0.9821428571428571,0.98125,0.79,0.9821428571428571,0.6368,6,0.97875,0.68,0.9821428571428571,0.97875,0.745,0.9821428571428571,0.6252
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.8,640,6,0.99625,0.7,1.0,0.99625,0.815,1.0,0.6779,47.808314085006714,6.0,0.97625,0.69,0.9765625,0.97625,0.795,0.9765625,0.6194,6,0.98,0.69,0.98125,0.98,0.765,0.98125,0.6446
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,0.9,720,6,0.99875,0.695,1.0,0.99875,0.81,1.0,0.622,89.6289451122284,6.0,0.98,0.725,0.9791666666666666,0.98,0.82,0.9791666666666666,0.5998,6,0.975,0.65,0.9736111111111111,0.975,0.735,0.9736111111111111,0.6085
credit-g,20,2,7,13,0,10000,4,800,200,100,1.0,0.785,1.0,800,6,1.0,0.665,1.0,1.0,0.81,1.0,0.652,101.11233067512512,6.0,0.98,0.69,0.98,0.98,0.765,0.98,0.6448,6,0.97875,0.675,0.97875,0.97875,0.77,0.97875,0.6218
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.1,80,3,0.9425,0.69,1.0,0.9425,0.785,1.0,0.5991,0.4393644332885742,3.0,0.9325,0.69,0.95,0.9325,0.775,0.95,0.651,3,0.94125,0.695,0.9875,0.94125,0.82,0.9875,0.6605
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.2,160,3,0.9575,0.735,1.0,0.9575,0.87,1.0,0.6551,1.3835766315460205,3.0,0.955,0.73,0.9375,0.955,0.845,0.9375,0.5917,3,0.93625,0.73,0.98125,0.93625,0.795,0.98125,0.6733
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.30000000000000004,240,5,0.98375,0.74,1.0,0.98375,0.835,1.0,0.6934,11.465344429016113,5.0,0.96125,0.68,0.9708333333333333,0.96125,0.845,0.9708333333333333,0.6355,5,0.9775,0.745,0.975,0.9775,0.84,0.975,0.653
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.4,320,5,0.9825,0.745,1.0,0.9825,0.86,1.0,0.6713,14.947627067565918,5.0,0.97125,0.685,0.96875,0.97125,0.85,0.96875,0.6082,5,0.965,0.75,0.978125,0.965,0.875,0.978125,0.6881
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.5,400,5,0.98375,0.755,1.0,0.98375,0.86,1.0,0.6802,22.98537540435791,5.0,0.97,0.68,0.96,0.97,0.825,0.96,0.6509,5,0.96375,0.755,0.9725,0.96375,0.86,0.9725,0.6938
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.6,480,5,0.98375,0.685,1.0,0.98375,0.82,1.0,0.6706,25.576541900634766,5.0,0.965,0.735,0.9541666666666667,0.965,0.84,0.9541666666666667,0.6461,5,0.9775,0.7,0.9791666666666666,0.9775,0.825,0.9791666666666666,0.687
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.7000000000000001,560,6,0.98875,0.715,1.0,0.98875,0.79,1.0,0.5902,58.51794457435608,6.0,0.97,0.695,0.9678571428571429,0.97,0.81,0.9678571428571429,0.6317,6,0.96875,0.7,0.9714285714285714,0.96875,0.805,0.9714285714285714,0.6272
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.8,640,6,0.99375,0.725,1.0,0.99375,0.81,1.0,0.6142,55.94185757637024,6.0,0.9825,0.72,0.9796875,0.9825,0.775,0.9796875,0.5948,6,0.975,0.725,0.9796875,0.975,0.82,0.9796875,0.633
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,0.9,720,7,1.0,0.76,1.0,1.0,0.845,1.0,0.6488,143.05928230285645,7.0,0.97625,0.745,0.975,0.97625,0.87,0.975,0.6791,7,0.98375,0.735,0.9847222222222223,0.98375,0.86,0.9847222222222223,0.708
credit-g,20,2,7,13,0,10000,5,800,200,100,1.0,0.775,1.0,800,7,1.0,0.725,1.0,1.0,0.88,1.0,0.6737,103.60403323173523,7.0,0.9825,0.74,0.9825,0.9825,0.885,0.9825,0.6662,7,0.9875,0.705,0.9875,0.9875,0.87,0.9875,0.6786
