prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity,mip-prune-train-fidelity,random-prune-train-fidelity,greedy-prune-train-fidelity,mip-prune-grid-fidelity,random-prune-grid-fidelity,greedy-prune-grid-fidelity,mip-time
0.1,3.0,0.827,0.818,0.8480000000000001,0.96075,0.9504999999999999,0.961,0.78946,0.8015399999999999,0.83104,0.39908246994018554
0.2,3.0,0.8459999999999999,0.8119999999999999,0.851,0.96925,0.9484999999999999,0.9650000000000001,0.8608,0.8135600000000001,0.8234199999999999,1.3531780242919922
0.3,3.4,0.858,0.8469999999999999,0.851,0.97425,0.954,0.96425,0.8161200000000001,0.8384,0.8256,1.459483814239502
0.4,4.4,0.8699999999999999,0.835,0.8619999999999999,0.982,0.9630000000000001,0.9705,0.8600199999999999,0.8248599999999999,0.8638199999999999,2.280549478530884
0.5,4.8,0.881,0.8720000000000001,0.8789999999999999,0.9875,0.9705,0.9814999999999999,0.8627800000000001,0.8228,0.8628199999999999,5.482942056655884
0.6,5.0,0.8800000000000001,0.8539999999999999,0.89,0.99175,0.97575,0.9870000000000001,0.87004,0.82792,0.8739000000000001,4.637899589538574
0.7000000000000001,5.0,0.891,0.8800000000000001,0.89,0.99325,0.9817499999999999,0.9862500000000001,0.86858,0.8412,0.88186,9.849169826507568
0.8,5.0,0.8779999999999999,0.8560000000000001,0.885,0.9964999999999999,0.97425,0.9845,0.84648,0.83924,0.88116,13.57156457901001
0.9,5.0,0.869,0.865,0.8870000000000001,0.9977499999999999,0.97875,0.98475,0.86032,0.84576,0.87904,15.483778381347657
1.0,5.2,0.865,0.882,0.877,1.0,0.9797499999999999,0.98575,0.8571799999999999,0.85634,0.88642,39.02629470825195
