dataset,n-features,n-classes,n-numerical-features,n-categorical-features,n-binary-features,n-grid-samples,fold,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-prop,n-prune-prop-samples,n-mip-trees,mip-prune-train-acc,mip-prune-test-acc,mip-prune-prop-train-acc,mip-prune-train-fidelity,mip-prune-test-fidelity,mip-prune-prop-train-fidelity,mip-prune-grid-fidelity,mip-time,n-random-trees,random-prune-train-acc,random-prune-test-acc,random-prune-prop-train-acc,random-prune-train-fidelity,random-prune-test-fidelity,random-prune-prop-train-fidelity,random-prune-grid-fidelity,n-greedy-trees,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-prop-train-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,greedy-prune-prop-train-fidelity,greedy-prune-grid-fidelity
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.1,17,1,0.7931034482758621,0.4772727272727273,1.0,0.7931034482758621,0.5681818181818182,1.0,0.2835,1.2192192077636719,1.0,0.7528735632183908,0.38636363636363635,0.8823529411764706,0.7528735632183908,0.38636363636363635,0.8823529411764706,0.2855,1,0.7931034482758621,0.4772727272727273,1.0,0.7931034482758621,0.5681818181818182,1.0,0.2835
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.2,34,1,0.8160919540229885,0.4090909090909091,1.0,0.8160919540229885,0.5454545454545454,1.0,0.5549,0.15732431411743164,1.0,0.7471264367816092,0.4318181818181818,0.8529411764705882,0.7471264367816092,0.4090909090909091,0.8529411764705882,0.1071,1,0.8160919540229885,0.4090909090909091,1.0,0.8160919540229885,0.5454545454545454,1.0,0.5549
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.30000000000000004,52,3,0.896551724137931,0.3409090909090909,1.0,0.896551724137931,0.5681818181818182,1.0,0.338,3.0080678462982178,3.0,0.8735632183908046,0.4318181818181818,0.9615384615384616,0.8735632183908046,0.6363636363636364,0.9615384615384616,0.3965,3,0.9022988505747126,0.3181818181818182,1.0,0.9022988505747126,0.5227272727272727,1.0,0.4402
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.4,69,3,0.9425287356321839,0.45454545454545453,1.0,0.9425287356321839,0.5909090909090909,1.0,0.2778,6.849881410598755,3.0,0.9022988505747126,0.45454545454545453,0.927536231884058,0.9022988505747126,0.5681818181818182,0.927536231884058,0.3709,3,0.9080459770114943,0.4772727272727273,0.9565217391304348,0.9080459770114943,0.5909090909090909,0.9565217391304348,0.2399
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.5,87,3,0.9367816091954023,0.4318181818181818,1.0,0.9367816091954023,0.45454545454545453,1.0,0.4325,6.0808587074279785,3.0,0.9022988505747126,0.45454545454545453,0.9425287356321839,0.9022988505747126,0.5909090909090909,0.9425287356321839,0.2979,3,0.9022988505747126,0.5227272727272727,0.9540229885057471,0.9022988505747126,0.6590909090909091,0.9540229885057471,0.5881
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.6,104,4,0.9597701149425287,0.38636363636363635,1.0,0.9597701149425287,0.6590909090909091,1.0,0.2622,8.494499683380127,4.0,0.8793103448275862,0.4772727272727273,0.8942307692307693,0.8793103448275862,0.6818181818181818,0.8942307692307693,0.2094,4,0.9080459770114943,0.4318181818181818,0.9423076923076923,0.9080459770114943,0.6363636363636364,0.9423076923076923,0.5672
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.7000000000000001,121,4,0.9770114942528736,0.5681818181818182,1.0,0.9770114942528736,0.5681818181818182,1.0,0.4641,15.904307842254639,4.0,0.8908045977011494,0.36363636363636365,0.9256198347107438,0.8908045977011494,0.45454545454545453,0.9256198347107438,0.4685,4,0.9195402298850575,0.3181818181818182,0.9586776859504132,0.9195402298850575,0.5227272727272727,0.9586776859504132,0.5618
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.8,139,4,0.9770114942528736,0.5681818181818182,1.0,0.9770114942528736,0.5681818181818182,1.0,0.4641,24.9930579662323,4.0,0.9195402298850575,0.4090909090909091,0.9136690647482014,0.9195402298850575,0.5454545454545454,0.9136690647482014,0.5192,4,0.9080459770114943,0.4090909090909091,0.920863309352518,0.9080459770114943,0.6136363636363636,0.920863309352518,0.4654
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,0.9,156,5,0.9942528735632183,0.45454545454545453,1.0,0.9942528735632183,0.6590909090909091,1.0,0.4495,12.844897508621216,5.0,0.9310344827586207,0.4090909090909091,0.9358974358974359,0.9310344827586207,0.5681818181818182,0.9358974358974359,0.3474,5,0.9597701149425287,0.4772727272727273,0.9743589743589743,0.9597701149425287,0.7272727272727273,0.9743589743589743,0.5696
mip-2016-classification,147,5,145,2,0,10000,1,174,44,100,1.0,0.5454545454545454,1.0,174,5,1.0,0.4772727272727273,1.0,1.0,0.6136363636363636,1.0,0.381,39.95792031288147,5.0,0.9425287356321839,0.36363636363636365,0.9425287356321839,0.9425287356321839,0.5,0.9425287356321839,0.5085,5,0.9655172413793104,0.5,0.9655172413793104,0.9655172413793104,0.6818181818181818,0.9655172413793104,0.4498
