dataset,n-features,n-classes,n-numerical-features,n-categorical-features,n-binary-features,n-grid-samples,fold,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-prop,n-prune-prop-samples,n-mip-trees,mip-prune-train-acc,mip-prune-test-acc,mip-prune-prop-train-acc,mip-prune-train-fidelity,mip-prune-test-fidelity,mip-prune-prop-train-fidelity,mip-prune-grid-fidelity,mip-time,n-random-trees,random-prune-train-acc,random-prune-test-acc,random-prune-prop-train-acc,random-prune-train-fidelity,random-prune-test-fidelity,random-prune-prop-train-fidelity,random-prune-grid-fidelity,n-greedy-trees,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-prop-train-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,greedy-prune-prop-train-fidelity,greedy-prune-grid-fidelity
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.1,3907,15,0.9952908658152688,0.8437915856280069,1.0,0.9953164589358381,0.9586446923943085,1.0,0.9038,600.7118349075317,15.0,0.9943439203542088,0.8453270549698024,0.9930893268492449,0.9943183272336396,0.9587470570170948,0.9930893268492449,0.849,15,0.9947278171627466,0.8458388780837343,0.9974404914256463,0.9947022240421775,0.9596683386221722,0.9974404914256463,0.8921
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.2,7814,19,0.9968264530494203,0.8459412427065206,1.0,0.9968520461699895,0.9642747466475586,1.0,0.8813,600.3907370567322,19.0,0.9958027282266527,0.8448152318558706,0.9960327617097517,0.9957771351060835,0.9660149452349268,0.9960327617097517,0.8802,19,0.9964681493614517,0.8464530658204524,0.997952393140517,0.9964937424820208,0.9641723820247723,0.997952393140517,0.8949
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.30000000000000004,11721,25,0.9983364471630026,0.8486027228989661,1.0,0.9984132265247102,0.9695977070324496,1.0,0.9004,600.9583072662354,25.0,0.9975430604253577,0.8437915856280069,0.9973551744731678,0.9975686535459268,0.9703142593919541,0.9973551744731678,0.8664,25,0.9979525503544647,0.8480908997850343,0.9983789779029093,0.9979269572338956,0.9713379056198178,0.9983789779029093,0.9157
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.4,15629,25,0.9986947508509713,0.8458388780837343,1.0,0.9987203439715404,0.9690858839185178,1.0,0.9077,600.4054353237152,25.0,0.9979013641133263,0.8447128672330843,0.997504638812464,0.9979269572338956,0.9710308117514587,0.997504638812464,0.9056,25,0.9979781434750339,0.8459412427065206,0.9980804913942031,0.9980037365956032,0.9702118947691678,0.9980804913942031,0.8941
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.5,19536,29,0.9991810201417859,0.8477838059166752,1.0,0.9992577995034935,0.973078104207186,1.0,0.9178,600.8726041316986,29.0,0.9983364471630026,0.8482956290306071,0.998413185913186,0.9984132265247102,0.9709284471286723,0.998413185913186,0.9102,29,0.9986435646098328,0.8495240045040434,0.9989250614250614,0.9986691577304021,0.9729757395843996,0.9989250614250614,0.9137
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.6,23443,31,0.9995649169503238,0.8462483365748797,1.0,0.9996416963120314,0.9723615518476815,1.0,0.9277,600.5236542224884,31.0,0.9986179714892637,0.8478861705394616,0.9985496736765772,0.9986435646098328,0.975023032040127,0.9985496736765772,0.901,31,0.9987459370921097,0.8498310983724024,0.999018896898861,0.9987203439715404,0.973897021189477,0.999018896898861,0.904
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.7000000000000001,27351,33,0.9996161031914621,0.8467601596888116,0.9999634382655113,0.9996928825531697,0.977582147609786,1.0,0.9344,600.5659964084625,33.0,0.9986691577304021,0.8474767120483161,0.9987569010273848,0.9987459370921097,0.9762514075135633,0.9987934627618734,0.8894,33,0.998797123333248,0.8483979936533934,0.998720339292896,0.9988227164538173,0.9749206674173405,0.9987569010273848,0.9172
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.8,31258,35,0.9996161031914621,0.8482956290306071,0.9999360163798068,0.9996416963120314,0.9768655952502815,1.0,0.9338,600.8245902061462,35.0,0.9988739026949556,0.8473743474255298,0.9988482948365218,0.9988994958155248,0.9755348551540588,0.9988482948365218,0.8682,35,0.9990786476595092,0.8503429214863343,0.9992002047475846,0.9991042407800783,0.9782986999692906,0.9992641883677779,0.9273
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,0.9,35165,37,0.9998208481560157,0.8463507011976661,0.9999146878999005,0.9998976275177233,0.9771726891186406,1.0,0.9271,600.7238080501556,37.0,0.9986947508509713,0.8483979936533934,0.9988340679653064,0.9987203439715404,0.9773774183642133,0.9988625053320063,0.9347,37,0.9991554270212167,0.8479885351622479,0.9991753163657046,0.9992322063829243,0.9759443136452042,0.9992606284658041,0.9228
adult,14,2,6,8,0,10000,1,39073,9769,100,0.9999232206382924,0.8493192752584706,1.0,39073,39,0.9999232206382924,0.8487050875217524,0.9999232206382924,1.0,0.9785034292148633,1.0,0.9297,601.2078671455383,39.0,0.9991298339006475,0.8472719828027434,0.9991298339006475,0.9991554270212167,0.9797318046882997,0.9991554270212167,0.9235,39,0.9993089857446319,0.8487050875217524,0.9993089857446319,0.999334578865201,0.9787081584604361,0.999334578865201,0.9251
