dataset,n-features,n-classes,n-numerical-features,n-categorical-features,n-binary-features,n-grid-samples,fold,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-prop,n-prune-prop-samples,n-mip-trees,mip-prune-train-acc,mip-prune-test-acc,mip-prune-prop-train-acc,mip-prune-train-fidelity,mip-prune-test-fidelity,mip-prune-prop-train-fidelity,mip-prune-grid-fidelity,mip-time,n-random-trees,random-prune-train-acc,random-prune-test-acc,random-prune-prop-train-acc,random-prune-train-fidelity,random-prune-test-fidelity,random-prune-prop-train-fidelity,random-prune-grid-fidelity,n-greedy-trees,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-prop-train-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,greedy-prune-prop-train-fidelity,greedy-prune-grid-fidelity
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.1,80,3,0.965,0.8,1.0,0.965,0.815,1.0,0.8203,0.3075408935546875,3.0,0.9525,0.8,0.9875,0.9525,0.835,0.9875,0.8131,3,0.9575,0.795,0.9875,0.9575,0.83,0.9875,0.8114
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.2,160,3,0.97875,0.78,1.0,0.97875,0.835,1.0,0.8952,1.4769394397735596,3.0,0.94875,0.815,0.94375,0.94875,0.83,0.94375,0.8461,3,0.97125,0.8,0.99375,0.97125,0.865,0.99375,0.8133
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.30000000000000004,240,3,0.97625,0.86,1.0,0.97625,0.895,1.0,0.8614,0.5694394111633301,3.0,0.95125,0.775,0.9541666666666667,0.95125,0.85,0.9541666666666667,0.867,3,0.965,0.825,0.9791666666666666,0.965,0.86,0.9791666666666666,0.8354
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.4,320,5,0.99,0.865,1.0,0.99,0.89,1.0,0.8741,1.8892109394073486,5.0,0.97875,0.81,0.959375,0.97875,0.855,0.959375,0.8274,5,0.9775,0.805,0.99375,0.9775,0.87,0.99375,0.8599
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.5,400,5,0.9925,0.825,1.0,0.9925,0.89,1.0,0.854,2.3509860038757324,5.0,0.975,0.82,0.98,0.975,0.885,0.98,0.833,5,0.98625,0.83,0.9925,0.98625,0.885,0.9925,0.8621
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.6,480,5,0.99375,0.85,1.0,0.99375,0.885,1.0,0.9111,3.303708553314209,5.0,0.9775,0.82,0.9791666666666666,0.9775,0.855,0.9791666666666666,0.8345,5,0.985,0.815,0.99375,0.985,0.89,0.99375,0.8484
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.7000000000000001,560,5,0.99125,0.795,1.0,0.99125,0.88,1.0,0.8989,3.2537200450897217,5.0,0.98125,0.835,0.9839285714285714,0.98125,0.91,0.9839285714285714,0.826,5,0.9875,0.83,0.9928571428571429,0.9875,0.905,0.9928571428571429,0.8574
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.8,640,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,17.708216667175293,5.0,0.96625,0.81,0.9671875,0.96625,0.865,0.9671875,0.87,5,0.98625,0.83,0.9921875,0.98625,0.885,0.9921875,0.8621
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,0.9,720,5,0.9975,0.815,1.0,0.9975,0.9,1.0,0.905,13.347078561782837,5.0,0.9775,0.8,0.9777777777777777,0.9775,0.865,0.9777777777777777,0.8512,5,0.98625,0.785,0.9888888888888889,0.98625,0.86,0.9888888888888889,0.8639
students-scores,7,2,3,4,0,10000,1,800,200,100,1.0,0.845,1.0,800,5,1.0,0.8,1.0,1.0,0.865,1.0,0.8398,21.786550045013428,5.0,0.975,0.81,0.975,0.975,0.865,0.975,0.8632,5,0.98375,0.815,0.98375,0.98375,0.87,0.98375,0.87
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.1,80,3,0.95875,0.715,1.0,0.95875,0.82,1.0,0.7393,0.24885821342468262,3.0,0.9525,0.745,0.925,0.9525,0.77,0.925,0.7788,3,0.95375,0.81,0.975,0.95375,0.885,0.975,0.8558
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.2,160,3,0.965,0.785,1.0,0.965,0.88,1.0,0.8492,1.0434277057647705,3.0,0.95375,0.75,0.96875,0.95375,0.765,0.96875,0.7971,3,0.955,0.765,0.9875,0.955,0.81,0.9875,0.7991
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.30000000000000004,240,4,0.97625,0.84,1.0,0.97625,0.905,1.0,0.8485,3.281494617462158,4.0,0.95,0.8,0.9291666666666667,0.95,0.855,0.9291666666666667,0.8578,4,0.96375,0.815,0.9666666666666667,0.96375,0.88,0.9666666666666667,0.903
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.4,320,5,0.98625,0.825,1.0,0.98625,0.9,1.0,0.8954,2.2649645805358887,5.0,0.9825,0.785,0.971875,0.9825,0.83,0.971875,0.8004,5,0.97375,0.81,0.971875,0.97375,0.915,0.971875,0.916
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.5,400,5,0.99,0.805,1.0,0.99,0.87,1.0,0.847,2.5121827125549316,5.0,0.9775,0.78,0.98,0.9775,0.885,0.98,0.8043,5,0.9775,0.815,0.985,0.9775,0.9,0.985,0.8604
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.6,480,5,0.995,0.78,1.0,0.995,0.845,1.0,0.8801,4.027277231216431,5.0,0.97625,0.79,0.975,0.97625,0.845,0.975,0.8234,5,0.98375,0.82,0.9854166666666667,0.98375,0.915,0.9854166666666667,0.8847
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.7000000000000001,560,5,0.99625,0.835,1.0,0.99625,0.9,1.0,0.8799,16.86695623397827,5.0,0.98375,0.835,0.9803571428571428,0.98375,0.91,0.9803571428571428,0.8838,5,0.9825,0.82,0.9803571428571428,0.9825,0.915,0.9803571428571428,0.8998
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.8,640,5,0.99125,0.765,1.0,0.99125,0.86,1.0,0.7922,12.02595853805542,5.0,0.9675,0.825,0.9640625,0.9675,0.89,0.9640625,0.854,5,0.9825,0.82,0.98125,0.9825,0.915,0.98125,0.8998
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,0.9,720,5,0.99625,0.805,1.0,0.99625,0.87,1.0,0.8401,16.92807650566101,5.0,0.98125,0.785,0.9847222222222223,0.98125,0.86,0.9847222222222223,0.8806,5,0.9825,0.82,0.9833333333333333,0.9825,0.915,0.9833333333333333,0.8998
students-scores,7,2,3,4,0,10000,2,800,200,100,1.0,0.855,1.0,800,5,1.0,0.76,1.0,1.0,0.835,1.0,0.8398,30.10847020149231,5.0,0.97875,0.825,0.97875,0.97875,0.93,0.97875,0.8789,5,0.9925,0.81,0.9925,0.9925,0.895,0.9925,0.9049
students-scores,7,2,3,4,0,10000,3,800,200,100,1.0,0.86,0.1,80,3,0.96625,0.785,1.0,0.96625,0.865,1.0,0.8393,0.589066743850708,3.0,0.95375,0.825,0.975,0.95375,0.825,0.975,0.8596,3,0.9725,0.855,0.9875,0.9725,0.905,0.9875,0.8544
students-scores,7,2,3,4,0,10000,3,800,200,100,1.0,0.86,0.2,160,3,0.9625,0.78,1.0,0.9625,0.86,1.0,0.8283,1.2318837642669678,3.0,0.94375,0.73,0.94375,0.94375,0.81,0.94375,0.8067,3,0.98,0.84,0.975,0.98,0.86,0.975,0.8385
students-scores,7,2,3,4,0,10000,3,800,200,100,1.0,0.86,0.30000000000000004,240,3,0.97125,0.78,1.0,0.97125,0.85,1.0,0.7486,1.4446346759796143,3.0,0.95125,0.775,0.9583333333333334,0.95125,0.825,0.9583333333333334,0.791,3,0.9725,0.8,0.9916666666666667,0.9725,0.87,0.9916666666666667,0.8333
students-scores,7,2,3,4,0,10000,3,800,200,100,1.0,0.86,0.4,320,4,0.98375,0.805,1.0,0.98375,0.855,1.0,0.8299,3.5100138187408447,4.0,0.95625,0.77,0.971875,0.95625,0.81,0.971875,0.8069,4,0.9675,0.82,0.978125,0.9675,0.86,0.978125,0.8826
students-scores,7,2,3,4,0,10000,3,800,200,100,1.0,0.86,0.5,400,4,0.97875,0.82,1.0,0.97875,0.89,1.0,0.8352,6.407378435134888,4.0,0.945,0.735,0.9325,0.945,0.805,0.9325,0.7793,4,0.97125,0.835,0.97,0.97125,0.885,0.97,0.8731
students-scores,7,2,3,4,0,10000,3,800,200,100,1.0,0.86,0.6,480,5,0.99125,0.85,1.0,0.99125,0.89,1.0,0.8834,3.5277488231658936,5.0,0.9775,0.815,0.98125,0.9775,0.875,0.98125,0.8653,5,0.99125,0.855,0.99375,0.99125,0.925,0.99375,0.8788
