prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity,mip-prune-train-fidelity,random-prune-train-fidelity,greedy-prune-train-fidelity,mip-prune-grid-fidelity,random-prune-grid-fidelity,greedy-prune-grid-fidelity,mip-time
0.1,7.0,0.930717054263566,0.9303294573643411,0.9358527131782945,0.9913638565891473,0.9898134689922481,0.9907703488372093,0.8082800000000001,0.8577999999999999,0.81404,55.13019213676453
0.2,7.8,0.930232558139535,0.9305232558139535,0.9373062015503877,0.9911821705426357,0.9896438953488372,0.9910368217054264,0.8252600000000001,0.81396,0.7855800000000001,126.48354320526123
0.3,11.0,0.9456395348837209,0.9460755813953489,0.9495155038759691,0.996608527131783,0.9954578488372092,0.9953609496124031,0.85352,0.8675,0.8452999999999999,600.7227609634399
0.4,13.0,0.9527616279069768,0.9518895348837209,0.9531976744186046,0.9979772286821704,0.9966327519379845,0.9964631782945735,0.8644400000000001,0.88462,0.84884,600.5844534397125
0.5,13.8,0.9517926356589147,0.9516472868217054,0.9551841085271319,0.9980741279069768,0.9966933139534884,0.996984011627907,0.86936,0.86948,0.8366199999999999,601.6790039539337
0.6,15.8,0.9549418604651162,0.9580426356589147,0.9580426356589147,0.9989098837209301,0.9973594961240309,0.9977713178294574,0.90574,0.9014200000000001,0.8349399999999999,600.9026829242706
0.7000000000000001,17.4,0.9583333333333334,0.960513565891473,0.9600290697674418,0.999406492248062,0.9979651162790699,0.998171027131783,0.91446,0.8805400000000001,0.87874,600.3080158710479
0.8,18.4,0.9595930232558141,0.9618217054263566,0.9613372093023257,0.9996487403100776,0.9981225775193797,0.9980377906976745,0.89894,0.89998,0.8818400000000001,600.3497572422027
0.9,19.4,0.9609496124031007,0.9595930232558139,0.9620639534883721,0.9997819767441861,0.9983769379844961,0.9983406007751938,0.89108,0.91518,0.88392,600.2980370044709
1.0,19.8,0.9634689922480619,0.9637596899224807,0.9620639534883721,1.0,0.99859496124031,0.9983406007751938,0.92056,0.9124000000000001,0.87912,600.9979347705842
