prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity,mip-prune-train-fidelity,random-prune-train-fidelity,greedy-prune-train-fidelity,mip-prune-grid-fidelity,random-prune-grid-fidelity,greedy-prune-grid-fidelity
0.1,3.0,0.9489227210498985,0.949358211773592,0.9508804229806922,0.9879918175590282,0.9858726952742047,0.9880460325053446,0.54564,0.7604,0.75068
0.2,5.0,0.9636996648255677,0.9584869942878724,0.9637046216305528,0.9956531040714361,0.9921755666583986,0.9935340851375454,0.8744400000000001,0.74922,0.8951800000000001
0.3,5.0,0.9630512675258462,0.9641391682009157,0.9687036774772224,0.9954900901220132,0.9924472910244144,0.9935339522577749,0.32396,0.67152,0.6488799999999999
0.4,6.2,0.9678324599915026,0.9689184723599112,0.97000448472832,0.9978266184756033,0.9935884329636323,0.995327135230266,0.83718,0.62782,0.9244
0.5,7.0,0.9684858140962092,0.9710921493650571,0.9702232922626635,0.9983699047990268,0.9952183805204162,0.9961421902129619,0.69394,0.31678,0.80756
0.6,7.0,0.9691368078175897,0.9658771184440352,0.9708761742907048,0.9979351812480068,0.9950011663890956,0.9965224478225435,0.83498,0.8382200000000001,0.79364
0.7000000000000001,7.0,0.9702237643393288,0.9680505594108484,0.9689203606665723,0.9988589318828767,0.9942947332364789,0.9965768251774684,0.3991,0.73418,0.8324
0.8,7.0,0.9680486711041875,0.9697899258839635,0.9719628947741115,0.9991306119556359,0.9950011663890956,0.9957074223686853,0.35906,0.31872,0.7688
0.9,7.0,0.970005664919983,0.9695706462729549,0.9721800500401265,0.9995109876805689,0.9954357422959262,0.9954357275315073,0.53526,0.43710000000000004,0.63556
1.0,7.0,0.9689189444365767,0.9652256526459897,0.9747892177689657,1.0,0.994729382965404,0.9953270761725902,0.55302,0.73306,0.6140800000000001
